テストファイルNo.,実装方法タイトル,対象,見解,代替／推奨手法,注意点,備考,
達成基準 7.2.4.1 ブロックスキップ,,,,,,,
G1-1,G1: メインコンテンツエリアへ直接移動するリンクを各ページの先頭に追加する,常に表示されているスキップリンク,要注意,"スクリーンリーダーの利用者にもメインコンテンツの開始位置へ移動するメカニズムを提供するために、H69の使用を推奨する。
","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
","この実装方法は、主にビジュアルブラウザをキーボードで操作するユーザーを対象としたものである。しかし、当委員会で確認した範囲では、G1の実装に依存するユーザーは確認できなかった。
キーボードだけで操作する場合は、スキップリンクにフォーカスをあててEnterキーを押すと、メインコンテンツ開始位置に移動する。そして、矢印キーでその後のコンテンツへ移動したり、Tabキーでメインコンテンツ内でフォーカスを受け取れる最初の要素へフォーカスを移動したりできる。ただし、IE6とIE7ではTabキーを押すと、フォーカスはスキップリンクに戻ってしまう (IE8やIE9ではキャレットブラウズ・モードにすることで移動できるようになる)。",
G1-2,G1: メインコンテンツエリアへ直接移動するリンクを各ページの先頭に追加する,フォーカスがあたると表示されるスキップリンク,要注意,"スクリーンリーダーの利用者にもメインコンテンツの開始位置へ移動するメカニズムを提供するために、H69の使用を推奨する。
","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
","この実装方法は、主にビジュアルブラウザをキーボードで操作するユーザーを対象としたものである。しかし、当委員会で確認した範囲では、G1の実装に依存するユーザーは確認できなかった。
キーボードだけで操作する場合は、スキップリンクにフォーカスをあててEnterキーを押すと、メインコンテンツ開始位置に移動する。そして、矢印キーでその後のコンテンツへ移動したり、Tabキーでメインコンテンツ内でフォーカスを受け取れる最初の要素へフォーカスを移動したりできる。ただし、IE6とIE7ではTabキーを押すと、フォーカスはスキップリンクに戻ってしまう (IE8やIE9ではキャレットブラウズ・モードにすることで移動できるようになる)。",
H69,H69: コンテンツの各セクションの開始位置に見出し要素を提供する,コンテンツの各セクション,達成可能,"ビジュアルブラウザをキーボード操作するユーザーを対象とする場合は、G1の実装を併用しても良い。ただし、当委員会で確認した範囲では、G1の実装に依存するユーザーは確認できなかった。

","ほとんどのビジュアルブラウザにおいて、この実装方法ではブロックスキップを行うことができない。
WCAG 2.0 解説書によれば、「この達成基準の意図は、コンテンツ内を一つずつ順を追って行き来している利用者がウェブページのメインコンテンツへ直接移動できるようにすることである。」とある。そのため、少なくともメインコンテンツの開始位置に見出しのマークアップがあればよい。",この実装方法は、主にスクリーンリーダーの利用者に恩恵をもたらすものである。,
G123-4a,G123: 繰り返しているコンテンツのブロックの開始位置に、そのブロックの終了位置へのリンクを追加する,常に表示されているナビゲーションスキップ,要注意,"WAI-ARIAのlandmarkを使用し、ブロックに対して適切なlandmarkを指定することで、そのブロックの読み飛ばしが可能になる場合がある。
※Techniques for WCAG 2.0の2014年1月版のEditors' Draftでは、実装方法ARIA11としてlandmarkを使用する方法が追加される予定である。","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
過度なスキップリンクの使用は、逆にアクセシビリティやユーザビリティを損なう恐れがあるので避けたほうがよい。",,
G123-4b,G123: 繰り返しているコンテンツのブロックの開始位置に、そのブロックの終了位置へのリンクを追加する,フォーカスがあたると表示されるナビゲーションスキップ,要注意,"WAI-ARIAのlandmarkを使用し、ブロックに対して適切なlandmarkを指定することで、そのブロックの読み飛ばしが可能になる場合がある。
※Techniques for WCAG 2.0の2014年1月版のEditors' Draftでは、実装方法ARIA11としてlandmarkを使用する方法が追加される予定である。","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
過度なスキップリンクの使用は、逆にアクセシビリティやユーザビリティを損なう恐れがあるので避けたほうがよい。",,
G124-1,G124: ページの先頭に、コンテンツの各エリアへのリンクを追加する,常に表示されているスキップリンク,要注意,"スクリーンリーダーの利用者にもメインコンテンツの開始位置へ移動するメカニズムを提供するために、H69の使用を推奨する。
","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
",,
G124-2,G124: ページの先頭に、コンテンツの各エリアへのリンクを追加する,フォーカスがあたると表示されるスキップリンク,要注意,"スクリーンリーダーの利用者にもメインコンテンツの開始位置へ移動するメカニズムを提供するために、H69の使用を推奨する。
","スクリーンリーダーのPC-Talkerがサポートしておらず、VoiceOverでもうまく動作しない。FirefoxとSafariはサポートしているが、IE6, IE7によるサポートが不十分。なお、IE8ならばキャレットブラウジングでキーボード操作していれば、メインコンテンツへ移動できる。
",,
H50-1,H50: 構造を示す要素を用いて、リンクをグループ化する,複数のウェブページ上で繰り返されているコンテンツのブロック（ul要素）,要注意,"WAI-ARIAのlandmarkを使用し、ブロックに対して適切なlandmarkを指定することで、そのブロックの読み飛ばしが可能になる場合がある。
※Techniques for WCAG 2.0の2014年1月版のEditors' Draftでは、実装方法ARIA11としてlandmarkを使用する方法が追加される予定である。",一部のスクリーンリーダーではサポートされていない。,複数のアイテムが並列で並んでいる場合にはリストとしてマークアップすることが重要である（達成基準7.1.3.1を参照）,
H50-2,H50: 構造を示す要素を用いて、リンクをグループ化する,複数のウェブページ上で繰り返されているコンテンツのブロック（map要素）,達成不可能,"WAI-ARIAのlandmarkを使用し、ブロックに対して適切なlandmarkを指定することで、そのブロックの読み飛ばしが可能になる場合がある。
※Techniques for WCAG 2.0の2014年1月版のEditors' Draftでは、実装方法ARIA11としてlandmarkを使用する方法が追加される予定である。",ブラウザとスクリーンリーダーのサポート状況からすると、スキップできるメカニズムとしては機能しない。,並列のアイテムをグループ化するという目的ならば、リストとしてマークアップしたほうがよい（達成基準7.1.3.1を参照）。,
