,Internet Explorer 8.0　アクセシビリティサポーテッド検証結果 [等級A]  2012年5月版,,,,,記号の説明,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,
,,,,,,？,判定できず,,,,
,,,,,,-,テスト不要（N/A）,,,,
,"Windows7, Internet Explorer 8.0, 支援技術なし",,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,判断軸・不安要素,,,,,,,
,C6,○,左側に野菜の見出しときゅうり・なす・大根のテキストが、右側に果物の見出しとりんご・みかんのテキストが表示される,,,,,,,,
,C7,○,CSSをオンにした状態で、ワシントンは、経済成長を促すためのプランを発表しました」が通常のテキストで表示され、その右に「全文」だけがリンクで表示されている。,,,,,,,,
,C8,○,東　京　都　と一字ずつスペースが空いて表示される。,,,,,,,,
,C9-1,○,"1.以下の方法でスタイルシートを無効にした。
表示＞スタイル＞スタイルシートなし
2.以下の方法で表示を変更した
　・表示＞文字のサイズ＞最大
　・コントロールパネル＞個人設定＞「ベーシックテーマとハイコントラストテーマ」の「ハイコントラスト＃１」
1.背景画像が非表示になり白背景になった。
2.CSSをオフにしても、フォントサイズ最大のまま閲覧することができた。
ハイコントラスト表示を設定してからCSSをオフにしても、ハイコントラスト表示の設定の閲覧することができた。",,,,,,,,
,C9-2,○,マウスオーバーするとオレンジの背景になった。,,,,,,,,
,C9-3,○,"1.以下の方法でスタイルシートを無効にした。
表示＞スタイル＞スタイルシートなし
2.以下の方法で表示を変更した
　・表示＞文字のサイズ＞最大
　・コントロールパネル＞個人設定＞「ベーシックテーマとハイコントラストテーマ」の「ハイコントラスト＃１」
1.背景画像が消えてテキストのみになった。
2.CSSをオフにしても、フォントサイズ最大のまま閲覧することができた。
ハイコントラスト表示を設定してからCSSをオフにしても、ハイコントラスト表示の設定の閲覧することができた。",,,,,,,,
,G1-1,△,"1.リンク「メインコンテンツへスキップ」が常に画面に表示されている。
2.「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下すると、再び「メインコンテンツへスキップ」にフォーカスが現れた。","１：○
２：×　",,,,,,,
,G1-2,△,"1.「メインコンテンツへスキップ」が画面に表示されていない。
2.「メインコンテンツへスキップ」にフォーカスを移動させるとリンクが表示される
3.「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると再び「メインコンテンツへスキップ」にフォーカスが現れた。","１：○
２：○
３：×",,,,,,,
,G14-1,-,テスト不要,,,,,,,,
,G14-2,-,テスト不要,,,,,,,,
,G14-3,-,テスト不要,,,,,,,,
,G14-4,-,テスト不要,,,,,,,,
,G21,○,Tabを押してゆくと「HTMLのリンク1」→「富士通トップページへ」→「HTMLのリンク2」に移動することができる。,Flash ver10.0.45.2にて実施,,,,,,,
,G53,-,テスト不要,,,,,,,,
,G88-1,○,リンク先にジャンプすると、タイトルに『自己適合宣言｜ウェブアクセシビリティ基盤委員会』が表示される,,,,,,,,
,G90-1,○,"1.マウス操作：ボタン画像をクリックすると画像が切り替わる。
2.キーボード操作：ボタン画像をenterで押下すると画像が切り替わる。
",,,,,,,,
,G90-2,○,"
1. マウスでクリックする際に押しただけでは変わらないが、元に戻すときに切り替わった。
2. Enterキーを押しているときは変わらないが、キーを元に戻すときに切り替わった。
",,,,,,,,
,G90-3,○,"1.マウス操作：ボタン画像にマウスポインタをマウスオーバーすると画像が切り替わる。
2.キーボード操作：ボタン画像にフォーカスを移動させると画像が切り替わる・",,,,,,,,
,G90-4,○,"1.マウス操作：ボタン画像にマウスポインタを乗せた後はずすと画像が切り替わる。
2.キーボード操作：ボタン画像にフォーカスを移動させた後、フォーカスを外すと画像が切り替わる。",,,,,,,,
,G90-5,○,"1.マウス操作：ボタン画像をクリックすると画像が切り替わる。
2.キーボード操作：ボタン画像をenter、spaceを押下すると画像が切り替わる。",,,,,,,,
,G91,○,マウスでもキーボード「Enter」でもリンク先にジャンプすると「東京駅構内の最新ルート」に進む。,,,,,,,,
,G96-1,-,テスト不要,,,,,,,,
,G96-2,-,テスト不要,,,,,,,,
,G96-3,-,テスト不要,,,,,,,,
,G107,○,"1.マウスポインタを置いてもリンク先にジャンプしなく（下にアドレスが表示される）、クリックするとリンク先にジャンプする。
2.キーボードも同様。",,,,,,,,
,G108,-,テスト不要,,,,,,,,
,G115-1,○,「ダウンロードページ」は青色で下線がついた表示になっていてリンクだと分かる,,,,,,,,
,G115-2,○,"1.「我輩は猫である」はイタリック/斜体で表記される。
2.「我輩は猫である。名前はまだない…」の引用部分は2文字分ほどインデントした表示になっている",,,,,,,,
,G115-3,○,「ギアがニュートラルにあることを確認してください」が、太字で表示されて、強調であることがわかる。,,,,,,,,
,G115-4,○,"1.em要素（「本当に」）又はstrong要素（「素晴らしい」）がマークアップした箇所を他とは区別のつく見た目になる。
2.この二つの要素が区別できる状態でレンダリングされている。em：太字・イタリック、strong：太字",,,,,,,,
,G115-5,○,「痛烈な」のエリアがシアン色で表示され、フォント自体は他のテキストと変わらない標準フォントで表示されている。,,,,,,,,
,G117,-,テスト不要,,,,,,,,
,G122,-,テスト不要,,,,,,,,
,G123-4a,△,「メインナビゲーションをスキップ」を押下するとテキストの色が変わるが、フォーカスが消える。その後Tabを押すと同じ位置にフォーカスが戻る、他のリンク先も同様で2，3，4は×となる。,"1：○表示の状態のみOK
2：×
3：×
4：×",,,,,,,
,G123-4b,△,「メインナビゲーションをスキップ」を押下すると表示が消えて、フォーカスも移動せずに消える。その後Tabを押すと同じ位置にフォーカスが戻る、他のリンク先も同様で2，3，4は×となる。,"1：○表示の状態のみOK
2：×
3：×
4：×",,,,,,,
,G124-1,△,"2.「メインコンテンツへスキップ」を押下するとフォーカスは移動せずに消える。その後Tabを押すと同じ位置にフォーカスが戻る、
3.及び4.他のリンク先で行うと、Tabを押したときは常に「メインコンテンツへスキップ」にフォーカスが当たる","1：○表示の状態のみOK
2：×
3：×
4：×",,,,,,,
,G124-2,△,"Tabで進めると「メインコンテンツへスキップ」は表示されるが、押下するとフォーカスは移動せずに消える。その後Tabを押すと同じ位置にフォーカスが戻る、
2.および3.他のリンク先で行うと、Tabを押したときは常に「メインコンテンツへスキップ」にフォーカスが当たる","1：○表示の状態のみOK
2：×
3：×
4：×",,,,,,,
,G138,○,[必須]が赤の太文字で表示されており、他のテキストと区別がつく,,,,,,,,
,G187,○,escを押下すると点滅を止めることができる,,,,,,,,
,G196-1,○,画像非表示にすると画像用のアイコンが５つ表示される,[インターネットオプション]-[詳細設定]-[ユーザー補助]にある「常にイメージのALTテキストを展開する」にチェックを入れると、代替テキストが表示される。必要に応じて、利用者はこの設定によって代替テキストを表示できる。,,,,,,,
,G196-2,○,インターネットオプション→詳細設定で画像を非表示にするを選択すると、テキストの代わりに小さなボックスが表示される,ユーザー補助のグループに「常にイメージのALTテキストを展開する」をオンにすると、代替テキストが「A」「AA」「AAA」と表示される。2つ目以降の画像については無視されて何も表示されない,,,,,,,
,H2-1,○,画像非表示にした際、アイコン画像が表示されず、代替テキストも表示されない。,,,,,,,,
,H2-2,○,画像非表示にした際、アイコン画像の代わりに代替テキスト「富士通株式会社」が表示されている。,,,,,,,,
,H4-1,○,Tabで進めてゆくと夫の「姓」「名」「出身地」へと縦に移動し、そのあとで妻の「姓」「名」「出身地」へと移動してゆく,,,,,,,,
,H4-2,○,テキストフィールド →検索ボタン→携帯サイト→サイトマップの順でフォーカスが移動した ,,,,,,,,
,H4-3a,○,Tabで進めてゆくと「リンク1」「リンク3」「リンク2」「リンク4」へと移動してゆく,,,,,,,,
,H4-3b,○,Tabで進めてゆくと左から順番に「リンク1」「リンク2」「リンク21」「リンク3」「リンク20」へと移動してゆく,,,,,,,,
,H24,×,設定を行い画像非表示にすると、「富士通ソリューションスクエアの建物配置図です。詳細については各建物を選らんでご覧ください。」というテキストは表示されるが、、area要素のalt属性に記述した代替テキスト「S棟（ソリューション棟）」及び「O棟（オフィス棟）」及び「C棟（共通棟）」は表示されない。,,,,,,,,
,H25,○,リンク先をクリックするとタイトルバーに『ワールドワイドウェブコンソーシアム』が表示される。ページ内には『・・・』が表示される。,,,,,,,,
,H30-1,-,テスト不要,,,,,,,,
,H30-2,○,リンク画像の代わりに代替テキスト「東京駅校内の最新のルート」が表示された。,,,,,,,,
,H30-3,○,リンク画像の代わりに何も表示されていない。,,,,,,,,
,H30-4,○,画像非表示にすると、画像があった部分に画像非表示のしるしが出て、何も表示されない状態にはならない。,,,,,,,,
,H30-5,○,アイコン画像の中に「PDFファイル」と書かれていると思われる代替テキストが見えている。,,,,,,,,
,H32-1,○,マウスでもキーボードでも申し込むを押すとページが切り替わる。,,,,,,,,
,H32-2,○,セレクトメニューを選択しただけでは何もおこらず、マウス操作でのクリックやキーボード操作でのボタンの押下により選択したページへリダイレクトする。,,,,,,,,
,H33-1,△,"1.マウスでは『富士通株式会社の公式サイト』が表示されるが
2.キーボード操作ではフォーカスを当てても何も表示されない","1：○
2：.×　キーボードでは対応しない",,,,,,,
,H33-2,△,"1．title属性値の補足説明は表示だけでは分からない。通常のリンクテキストで表示される。
2.マウスオーバーで「新しいウィンドウで開く」はマウスポインタでは表示されるが、
3.キーボードではフォーカスが当たっても何も表示されない","1：×title属性の表示なし
2：○
3：×キーボード操作非対応",,,,,,,
,H35,○,プラグインを有効にするのチェックボックスを外してリンク先へ進んだところ、正しく「三目並べゲーム（applet要素のボディ）が表示された,※メニューバーのツールからJavaを無効にして設定した。,,,,,,,
,H36,○,画像が表示されないかわりに画像非表示のしるしが表示され、そのとなりに送信のテキストが表示される,,,,,,,,
,H37-1,○,画像が表示されないかわりに画像非表示のしるしが表示され、そのとなりに『東京駅構内図を見る』のテキストが表示される,,,,,,,,
,H37-2,○,画像非表示設定にすると、イメージマップ画像の代わりに「デパートのフロアガイド。各階に〜」が表示されている。,,,,,,,,
,H39,○,caption要素で記述した「3月6日の週の予定」とデータデーブルの表題として表示されている。,,,,,,,,
,H42,○,リンク先に進んだところ３つの文字は見出しとわかる表示がされていて、『本日の株式市場』が『サイト内ナビゲーション』や『関連リンク』より大きく表示されている,,,,,,,,
,H43,-,テスト不要,,,,,,,,
,H44-1,○,"マウスポインタで「お名前」をクリックしたとき、テキストフィールドにフォーカスが移動することを確認
",,,,,,,,
,H44-2,○,"マウスポインタでラベル（テキスト）「HTML」をクリックしたとき、チェックボックスの状態が切り替わることを確認
",,,,,,,,
,H44-3,○,各ラベル（「チョコレートタイプ」、「クリームたっぷりタイプ」、「はちみつがけタイプ」）にカーソルを合わせクリックすると、ラジオボタンが選択される（テキスト自体に点線の枠はつかない）,,,,,,,,
,H45,×,代替テキスト「会員数の遷移グラフ」が表示されているが、H45-ref.htmlへのリンクは提示されていない。,H45-ref.htmlへのリンクへの表示がなかった。,,,,,,,
,H48-1,○,各リスト項目の先頭に数字が順に表示されていることを確認。,,,,,,,,
,H48-2,-,テスト不要,,,,,,,,
,H48-3,○,用語と定義が区別できるように定義がインデントされていた。,,,,,,,,
,H49-1,○,"表示＞スタイル＞スタイルなしで実施。
「本当に」がイタリック、「素晴らしい」が太字で表示され、他と区別がつき、かつお互いの区別もつく見た目になっていることを確認
",,,,,,,,
,H49-2,○,"表示＞スタイル＞スタイルなしで実施。
「わが人生の物語」が太字のイタリック表示、「ここが引用されている・・・」以降が一行改行、およびインデントされ、他と区別がつくレンダリングになっていることを確認
",,,,,,,,
,H49-3,○,q要素でマークアップした部分に「”」が表示されている。,,,,,,,,
,H49-4,○,"1.マークアップされた""Zn2+""の""2+""が、上付き文字として表示されている。 
2.マークアップされた""H2O""の""2""が、下付き文字で表示されている。 ",,,,,,,,
,H50-1,×,キーボード操作でリスト全体をスキップすることはできない。,,,,,,,,
,H50-2,-,テスト不要,,,,,,,,
,H51,○,見出しセルが太字になっていてテーブルセルと区別がつくことを確認。,,,,,,,,
,H53-1,×,代替テキストが表示されない。,,,,,,,,
,H53-2,×,"１．ロゴの画像が表示されない 
２．画像非表示に変更した場合も、画像の代わりに代替テキストが表示されなかった ",,,,,,,,
,H53-3,×,"１．ロゴの画像が表示されない 
２．画像非表示に変更した場合も、画像の代わりに代替テキストが表示されなかった ",,,,,,,,
,H56,○,「12345、6789．」と表示されている。,,,,,,,,
,H57-1,○,英語で表示されている,,,,,,,,
,H57-2,○,英語で表示されている,,,,,,,,
,H57-3,○,英語で表示されている,,,,,,,,
,H63,-,テスト不要,,,,,,,,
,H64-1,-,テスト不要,,,,,,,,
,H64-2,-,テスト不要,,,,,,,,
,H65-1,△,"1.マウスポインタをセレクトメニュー上に置いたとき、「検索範囲を選択」がツールチップとして表示されることを確認
2.キーボードでセレクトメニューに移動させるが、ツールチップは表示されない。
","1：○
2.：×",,,,,,,
,H65-2,△,"1.マウスポインタをテキストフィールドに置いたとき、title属性値「市外局番」、「市内局番」、「加入者番号」がツールチップとして表示されることを確認
2.Tabキーで各テキストフィールドに移動させるが、ツールチップは表示されない。
","1：○
2.：×",,,,,,,
,H65-3,△,"1.マウスポインタをテキストフィールド上に置いたとき、title属性値「検索キーワードを入力」がツールチップとして表示されることを確認
2.Tabキーでテキストフィールドに移動させるが、ツールチップは表示されない。
","1：○
2.：×",,,,,,,
,H67,○,設定を行い画像非表示にするとテスト開始とテスト終了の間に画像非表示のしるしがあるがテキストは表示されない。,,,,,,,,
,H69,×,"キーボード操作で各見出しへ順にフォーカスできない
",,,,,,,,
,H70,○,"1.フレーム間のキー操作Ｃｔｒｌ＋Ｆ６でフレームを選択し、メインコンテンツのフレーム内にフォーカスが移動できた。
2.フレームのリスト表示はできない",,,,,,,,
,H71-1,○,"5つのラジオボタンを罫線が囲んでおり、「ハムレットの作者は？」が5つのラジオボタンをグルーピングしたラベルであるとわかることを確認
",,,,,,,,
,H71-2,○,"3つのチェックボックスを罫線が囲んでおり、「興味のある項目」が3つのチェックボックスをグルーピングしたラベルであるとわかることを確認
",,,,,,,,
,H71-3,○,"3つのラジオボタンを罫線が囲んでおり、「好きな哲学者は？」が3つのラジオボタンをグルーピングしたラベルであるとわかることを確認
",,,,,,,,
,H71-4,○,"「自宅住所」と「送付先住所」それぞれが2つのテキストフィールドを罫線で囲んでおり、グルーピングしたラベルであるとわかることを確認
",,,,,,,,
,H73-1,-,テスト不要,,,,,,,,
,H73-2,-,テスト不要,,,,,,,,
,H77-1,-,テスト不要,,,,,,,,
,H77-2,-,テスト不要,,,,,,,,
,H78,-,テスト不要,,,,,,,,
,H79,-,テスト不要,,,,,,,,
,H80-1,-,テスト不要,,,,,,,,
,H80-2,-,テスト不要,,,,,,,,
,H80-3,-,テスト不要,,,,,,,,
,H81-1,-,テスト不要,,,,,,,,
,H81-2,-,テスト不要,,,,,,,,
,H84-1,○,セレクトメニューを選択しただけでは何もおこらず、マウス操作でのクリックやキーボード操作での「実行」ボタンの押下により選択したページのリンクが表示される。,,,,,,,,
,H84-2,○,セレクトメニューを選択しただけでは何も起こらず、マウス操作でのクリックやキーボード操作での「実行」ボタンの押下により選択したページのリンクが表示される。,,,,,,,,
,H85-1,○,セレクトメニュー内で「フルーツ」が太字になって、各選択肢はインデント表示されているため、「フルーツ」が「リンゴ」、「バナナ」、「桃」、「みかん」をグルーピングしたラベルであることが分かる。野菜、焼菓子も同様。,,,,,,,,
,H85-2,○,選択肢をグルーピングしているラベルが太く強調されているので、ラベルであることが理解できる。選択肢はインデントされて表示。,,,,,,,,
,H86-1,△,"1.顔文字に補足説明があることがわかるように表示は一切されていない。
2.顔文字にマウスポインタをおくと、「笑顔」とツールチップが表示される。
3.キーボード操作では、ツールチップは表示されなかった。","1.：×　特に破線の下線がつくなどの表示がない。
2：○
3：×キーボード操作では、ツールチップ表示ができない。",,,,,,,
,H86-2,-,テスト不要,,,,,,,,
,H86-3,△,"手順1. 「Au5t1N r0xx0rz」にtitle属性値があることが分かるような表示がない。
手順2.のマウスポインタを置いたときのツールチップ表示は確認","1：×破線のアンダーラインや囲み線を表示する機能はなさそう
2：○",,,,,,,
,H91-1a,○,"１．マウスクリックで画面遷移できた。
２．リンクにフォーカスを当てて、Enter押下で画面遷移できた。 ",,,,,,,,
,H91-1b,○,"１．マウスクリックで画面遷移できた。
２．リンクにフォーカスを当てて、Enter押下で画面遷移できた。 ",,,,,,,,
,H91-1c,○,"１．マウスクリックで画面遷移できた。
２．リンクにフォーカスを当てて、Enter押下で画面遷移できた。 ",,,,,,,,
,H91-2a,○,"１．マウスクリックでボタン押下ができた。
２．リンクにフォーカスを当てて、Enter、Space押下でボタン押下できた。 ",,,,,,,,
,H91-2b,○,"１．マウスクリックで各ボタン押下ができた。
２．リンクにフォーカスを当てて、Enter、Space押下で各ボタン押下できた。 ",,,,,,,,
,H91-2c,○,"１．マウスクリックで各ボタン押下ができた。
２．リンクにフォーカスを当てて、Enter、Space押下で各ボタン押下できた。 ",,,,,,,,
,H91-2d,○,"１．マウスクリックで各ボタン押下ができた。
２．リンクにフォーカスを当てて、Enter、Space押下で各ボタン押下できた。 ",,,,,,,,
,H91-2e,△,"1.マウス操作：マウスポインタを置いた際に、title属性値「ファイルを保存する」がツールチップで表示された。
2.キーボード操作：ボタンにフォーカスを移動させた際に、title属性値「ファイルを保存する」がツールチップで表示されない。","１:○
２：×　Tabキーでテキストフィールドにフォーカスをあてても、ツールチップは表示されなかった。",,,,,,,
,H91-3a,○,"１．マウスクリックでテキストフィールドにフォーカスをあて、編集することができた。
２．Tabキーでテキストフィールドにフォーカスをあて、編集することができた。",,,,,,,,
,H91-3b,△,"１．テキストフィールドをマウスオーバーすると「果物の種類」というツールチップが表示された。 
２．テキストフィールドにマウスクリックでフォーカスをあて、テキスト編集することができた。
３．Tabキーでテキストフィールドにフォーカスをあてても、ツールチップは表示されなかった。
４．Tabキーでテキストフィールドにフォーカスを移動し、テキスト編集することができた。","１：○
２：○
３：×．Tabキーでテキストフィールドにフォーカスをあてても、ツールチップは表示されなかった。
４：○",,,,,,,
,H91-4,○,Tabキーでフォーカスを進め、チーズの項目でSpaceキーを押すとチェックが外れたりついたりする。,,,,,,,,
,H91-5,○,Tabキーでフォーカスを進め、ラジオボタン項目で←→または↓↑を押すと選択項目が変更される。,,,,,,,,
,H91-6a,○,"１．マウス操作でセレクトメニューの選択肢「1」、「2」、「3」をそれぞれ選択することができた。 
２．Tabキーでセレクトメニューにフォーカスを移動し、↓↑で選択肢「1」、「2」、「3」をそれぞれ選択することができた
Alt＋↓で選択肢一覧を展開し、Enterで選択することもできた",,,,,,,,
,H91-6b,△,"１．セレクトメニューをマウスオーバーすると「数字」というツールチップが表示された。 
２．マウス操作でセレクトメニューの選択肢「1」、「2」、「3」をそれぞれ選択することができた。 
３．Tabキーでセレクトメニューにフォーカスをあてても、ツールチップは表示されなかった。
４．Tabキーでセレクトメニューにフォーカスを移動し、↓↑で選択肢「1」、「2」、「3」をそれぞれ選択することができた
Alt＋↓で選択肢一覧を確認し、Enterで選択することもできた","１：○
２：○
３：×　Tabキーでセレクトメニューにフォーカスをあてても、ツールチップは表示されなかった。
４：○",,,,,,,
,H91-7a,○,"１．マウスクリックでテキストエリアにフォーカスをあて、編集することができた。
２．Tabキーでテキストエリアにフォーカスをあて、編集することができた。",,,,,,,,
,H91-7b,△,"１．テキストエリアをマウスオーバーすると「コメントを入力」というツールチップが表示された。 
２．テキストエリアにマウスクリックでフォーカスをあて、テキスト編集することができた。
３、Tabキーでセレクトメニューにフォーカスをあてても、ツールチップは表示されなかった。
４．Tabキーでテキストエリアにフォーカスを移動し、テキスト編集することができた。","１：○
２：○
３：×　Tabキーでセレクトメニューにフォーカスをあてても、ツールチップは表示されなかった。
４：○",,,,,,,
,H91-8,○,Tabキーでフォーカスを進め、ラジオボタン項目で←→または↓↑を押すと選択項目が変更される。,,,,,,,,
,SCR2,○,"1.マウス操作：リンク「W3C ウェブ・アクセシビリティ・イニシアティブ」及び「W3C 国際化活動」にマウスオーバーするとそれぞれのアイコン画像が変更されて、マウスポインタを外すとそれぞれが元のアイコン画像に戻るかを確認

2.キーボード操作：リンク「W3C ウェブ・アクセシビリティ・イニシアティブ」及び「W3C 国際化活動」にフォーカスを移動するとそれぞれのアイコン画像が変更されて、フォーカスを外すとそれぞれが元のアイコン画像に戻るかを確認",2012年4月修正,,,,,,,
,SCR16,○,"1.40秒後にダイアログが表示された
2.マウス操作でOKとキャンセルそれぞれのボタンを押せた
3.キーボードは←→で選択しEnterでボタンを押せた",,,,,,,,
,SCR18,○,"1.マウス操作では無効な値を入力して「送信」するとダイアログが表示された、
2.キーボード操作無効な値を入力して「送信」でenterを押すとダイアログが表示された、",,,,,,,,
,SCR20-1,○,"1.マウス操作：リンク「ダイアログを表示」をクリックすると（押しただけで）、ダイアログが表示されるかを確認

2.キーボード操作：リンク「ダイアログを表示」にフォーカスを移動させてEnterキーを押しただけで、ダイアログが表示されるかを確認（Enterキーを押したままの状態でダイアログが表示されるか） ",2012年4月修正,,,,,,,
